"CODIGO","DESCRIPCION","N_OT","CANTIDAD","PRECIO_UNITARIO","SUBTOTAL","IGV","TOTAL","FECHA_REGISTRO","REPARAR","C_MONEDA","N_PROFORMA","C_PROMOCION"
"MC             ","Material Consumible",10000021,1,60,60,10.8,70.8,12/02/2024 03:37:41 PM,0,"S",0,""
"","GRASA DE PALIER",10000021,1,25,25,4.5,29.5,07/03/2023 02:31:36 PM,0,"S",0,""
"","PASTILLAS DE FRENO DELTERAS HIBRIDAS",10000015,1,396,396,71.28,467.28,20/02/2023 12:29:11 PM,0,"S",0,""
"","PASTOLLAS DE FRENO POSTERIOR HIBRIDAS",10000015,1,363,363,65.34,428.34,20/02/2023 12:29:11 PM,0,"S",0,""
"","SENSOR DE PASTILLAS DELT.",10000015,1,148,148,26.64,174.64,20/02/2023 12:29:11 PM,0,"S",0,""
"MC             ","Material Consumible",10000015,1,60,60,10.8,70.8,12/02/2024 03:39:18 PM,0,"S",0,""
"","TRAPECIOS DELT.",10000016,2,415,747,134.46,881.46,20/02/2023 12:29:11 PM,0,"S",0,""
"MC             ","Material Consumible",10000016,1,60,54,9.72,63.72,12/02/2024 03:38:52 PM,0,"S",0,""
"BPA000000040008","Aceite 10w30 Sp/rc G6",10000018,5,42,210,37.8,247.8,12/02/2024 03:59:24 PM,0,"S",0,""
"BPA000000030007","Filtro De Aceite",10000018,1,32,32,5.76,37.76,12/02/2024 03:59:24 PM,0,"S",0,""
"BPA000000100008","Arandela",10000018,1,3.5,3.5,0.63,4.13,12/02/2024 03:59:24 PM,0,"S",0,""
"SHAMPOO01      ","Shampoo Limpia Parabrisas",10000018,1,5.5,5.5,0.99,6.49,12/02/2024 03:59:24 PM,0,"S",0,""
"MC             ","Material Consumible",10000018,1,60,60,10.8,70.8,12/02/2024 03:59:24 PM,0,"S",0,""
"","Foco  H11 Wurth",10000018,1,40,40,7.2,47.2,23/02/2023 03:21:50 PM,0,"S",0,""
"","foco doble contacto wurth",10000018,1,10,10,1.8,11.8,23/02/2023 03:21:50 PM,0,"S",0,""
"","JGO. DE CABLES DE BUJIAS",10000021,1,110.17,110.17,19.83,130,07/03/2023 02:31:36 PM,0,"S",0,""
"BPA000000030007","Filtro De Aceite",,1,26,26,4.68,30.68,13/03/2023 03:38:34 PM,0,"S",0,""
