N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000157,1,Requerimiento Inmediato,23.73,23.73,01001-06061,50357693
10000157,1,Requerimiento Inmediato,19.49,19.49,01001-06060,50357694
10000157,1,Requerimiento Inmediato,16.95,16.95,01001-06059,50357695
10000157,1,Requerimiento Inmediato,16.95,16.95,01001-06058,50357696
10000158,12,,15.5,186,01001-01501,50357713
10000161,1,Requerimiento Inmediato,38.14,38.14,01001-06063,50357774
10000161,1,Requerimiento Inmediato,32.2,32.2,01001-06064,50357775
10000163,1,Requerimiento Inmediato,152.54,152.54,01001-03049,50357813
10000165,1,Requerimiento Inmediato,233.05,233.05,01001-09007,50357853
10000165,1,Requerimiento Inmediato,51.27,51.27,01001-09008,50357854
10000166,5,Requerimiento Inmediato,6.78,33.9,01001-09009,50357873
10000168,1,Requerimiento Inmediato,254.23,254.23,01001-03050,50357913
10000168,1,Requerimiento Inmediato,67.8,67.8,01001-03051,50357914
10000170,4,Requerimiento Inmediato,12.71,50.84,01001-03013,50357953
10000170,1,Requerimiento Inmediato,19.49,19.49,01001-06065,50357954
10000170,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50357955
10000170,1,Requerimiento Inmediato,21.19,21.19,01001-06066,50357956
10000176,1,Requerimiento Inmediato,25.4,25.4,01001-03058,50358074
10000176,4,Requerimiento Inmediato,6.36,25.44,01001-03059,50358075
10000176,1,Requerimiento Inmediato,80.51,80.51,01001-03060,50358076
10000210,2,Requerimiento Inmediato,98.85,197.7,01001-05051,50358713
10000210,2,Requerimiento Inmediato,17.97,35.94,01001-05052,50358714
10000213,1,Requerimiento Inmediato,27.11,27.11,01001-06078,50358773
10000213,1,Requerimiento Inmediato,76.27,76.27,01001-06079,50358774
10000213,4,Requerimiento Inmediato,44.07,176.28,01001-03028,50358775
10000213,1,Requerimiento Inmediato,27.12,27.12,01001-06049,50358776
10000226,1,,21.2,21.2,01001-06080,50358975
10000226,3,,8.47,25.41,01001-01502,50358976
